Metric,Value
route__wirelength__iter:5,96070
route__drc_errors__iter:6,90
route__wirelength__iter:6,96070
route__drc_errors__iter:7,36
route__wirelength__iter:7,96141
route__drc_errors__iter:8,36
route__wirelength__iter:8,96141
route__drc_errors__iter:9,6
route__wirelength__iter:9,96168
route__drc_errors__iter:10,6
route__wirelength__iter:10,96168
route__drc_errors__iter:11,0
route__wirelength__iter:11,96178
route__drc_errors,0
route__wirelength,96207
route__vias,13099
route__vias__singlecut,13099
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,8
design__critical_disconnected_pin__count,0
route__wirelength__max,381.955
design__instance__count__class:fill_cell,675
design__instance__area__class:fill_cell,5920.39
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,19
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,19
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,19
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,19
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19967
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19997
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000331448
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000259215
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000207337
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000259215
design_powergrid__voltage__worst,0.000259215
design_powergrid__voltage__worst__net:VPWR,1.19967
design_powergrid__drop__worst,0.000331448
design_powergrid__drop__worst__net:VPWR,0.000331448
design_powergrid__voltage__worst__net:VGND,0.000259215
design_powergrid__drop__worst__net:VGND,0.000259215
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.00002519999999999999928316889163948388841163250617682933807373046875
ir__drop__worst,0.000331000000000000022502832930371141628711484372615814208984375
magic__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
